@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
474,'2017/05/28 21:05:12:133',5,73,300,73,662
475,'2017/05/28 21:05:12:145',5,74,300,74,658
476,'2017/05/28 21:05:12:153',5,75,296,75,655
477,'2017/05/28 21:05:12:163',5,76,293,76,649
478,'2017/05/28 21:05:12:174',5,77,293,77,639
479,'2017/05/28 21:05:12:183',5,78,293,78,629
480,'2017/05/28 21:05:12:199',5,79,293,79,623
481,'2017/05/28 21:05:12:202',5,80,293,80,610
482,'2017/05/28 21:05:12:214',5,81,293,81,587
483,'2017/05/28 21:05:12:233',5,82,293,82,574
484,'2017/05/28 21:05:12:233',5,83,290,83,561
485,'2017/05/28 21:05:12:249',5,84,287,84,548
486,'2017/05/28 21:05:12:253',5,85,283,85,536
487,'2017/05/28 21:05:12:275',5,86,280,86,497
488,'2017/05/28 21:05:12:275',5,87,274,87,484
489,'2017/05/28 21:05:12:283',5,88,274,88,471
490,'2017/05/28 21:05:12:296',5,89,267,89,452
491,'2017/05/28 21:05:12:303',5,90,264,90,406
492,'2017/05/28 21:05:12:316',5,91,261,91,387
493,'2017/05/28 21:05:12:323',5,92,254,92,345
494,'2017/05/28 21:05:12:335',5,93,245,93,316
495,'2017/05/28 21:05:12:342',5,94,238,94,267
496,'2017/05/28 21:05:12:356',5,95,232,95,235
497,'2017/05/28 21:05:12:363',5,96,222,96,212
498,'2017/05/28 21:05:12:373',5,97,215,97,177
499,'2017/05/28 21:05:12:390',5,98,206,98,161
500,'2017/05/28 21:05:12:393',5,99,186,99,148
501,'2017/05/28 21:07:34:118',6,0,109,0,93
502,'2017/05/28 21:07:34:119',6,1,131,1,115
503,'2017/05/28 21:07:34:155',6,2,154,2,138
504,'2017/05/28 21:07:34:155',6,3,177,3,164
505,'2017/05/28 21:07:34:155',6,4,193,4,206
506,'2017/05/28 21:07:34:158',6,5,215,5,235
507,'2017/05/28 21:07:34:200',6,6,232,6,261
508,'2017/05/28 21:07:34:200',6,7,248,7,283
509,'2017/05/28 21:07:34:200',6,8,258,8,316
510,'2017/05/28 21:07:34:200',6,9,270,9,342
511,'2017/05/28 21:07:34:210',6,10,296,10,371
512,'2017/05/28 21:07:34:230',6,11,312,11,403
513,'2017/05/28 21:07:34:231',6,12,319,12,416
514,'2017/05/28 21:07:34:238',6,13,332,13,445
515,'2017/05/28 21:07:34:259',6,14,351,14,468
516,'2017/05/28 21:07:34:259',6,15,364,15,503
517,'2017/05/28 21:07:34:275',6,16,377,16,529
518,'2017/05/28 21:07:34:278',6,17,384,17,548
519,'2017/05/28 21:07:34:288',6,18,387,18,574
520,'2017/05/28 21:07:34:306',6,19,393,19,607
521,'2017/05/28 21:07:34:308',6,20,400,20,629
522,'2017/05/28 21:07:34:319',6,21,406,21,652
523,'2017/05/28 21:07:34:340',6,22,413,22,668
524,'2017/05/28 21:07:34:341',6,23,416,23,691
525,'2017/05/28 21:07:34:371',6,24,419,24,700
526,'2017/05/28 21:07:34:371',6,25,422,25,713
527,'2017/05/28 21:07:34:371',6,26,426,26,720
528,'2017/05/28 21:07:34:378',6,27,429,27,726
529,'2017/05/28 21:07:34:396',6,28,429,28,730
530,'2017/05/28 21:07:34:398',6,29,432,29,736
531,'2017/05/28 21:07:34:408',6,30,432,30,739
532,'2017/05/28 21:07:34:422',6,31,432,31,746
533,'2017/05/28 21:07:34:442',6,32,432,32,746
534,'2017/05/28 21:07:34:442',6,33,432,33,746
535,'2017/05/28 21:07:34:448',6,34,432,34,749
536,'2017/05/28 21:07:34:464',6,35,435,35,752
537,'2017/05/28 21:07:34:468',6,36,439,36,752
538,'2017/05/28 21:07:34:478',6,37,439,37,755
539,'2017/05/28 21:07:34:492',6,38,439,38,759
540,'2017/05/28 21:07:34:498',6,39,442,39,759
541,'2017/05/28 21:07:34:508',6,40,442,40,755
542,'2017/05/28 21:07:34:521',6,41,442,41,755
543,'2017/05/28 21:07:34:548',6,42,442,42,755
544,'2017/05/28 21:07:34:548',6,43,442,43,759
545,'2017/05/28 21:07:34:548',6,44,442,44,762
546,'2017/05/28 21:07:34:558',6,45,442,45,762
547,'2017/05/28 21:07:34:587',6,46,442,46,762
548,'2017/05/28 21:07:34:587',6,47,445,47,762
549,'2017/05/28 21:07:34:588',6,48,445,48,762
550,'2017/05/28 21:07:34:610',6,49,445,49,762
551,'2017/05/28 21:07:34:610',6,50,445,50,762
552,'2017/05/28 21:07:34:627',6,51,445,51,765
553,'2017/05/28 21:07:34:628',6,52,445,52,765
554,'2017/05/28 21:07:34:645',6,53,445,53,765
555,'2017/05/28 21:07:34:648',6,54,442,54,762
556,'2017/05/28 21:07:34:659',6,55,442,55,762
557,'2017/05/28 21:07:34:693',6,56,442,56,759
558,'2017/05/28 21:07:34:693',6,57,442,57,759
559,'2017/05/28 21:07:34:693',6,58,442,58,759
560,'2017/05/28 21:07:34:719',6,59,439,59,759
561,'2017/05/28 21:07:34:719',6,60,445,60,759
562,'2017/05/28 21:07:34:719',6,61,445,61,759
563,'2017/05/28 21:07:34:753',6,62,445,62,762
564,'2017/05/28 21:07:34:754',6,63,445,63,762
565,'2017/05/28 21:07:34:754',6,64,445,64,768
566,'2017/05/28 21:07:34:758',6,65,445,65,759
567,'2017/05/28 21:07:34:789',6,66,445,66,765
568,'2017/05/28 21:07:34:789',6,67,445,67,762
569,'2017/05/28 21:07:34:789',6,68,445,68,759
570,'2017/05/28 21:07:34:813',6,69,445,69,759
571,'2017/05/28 21:07:34:813',6,70,445,70,755
572,'2017/05/28 21:07:34:818',6,71,445,71,749
573,'2017/05/28 21:07:34:828',6,72,445,72,746
574,'2017/05/28 21:07:34:840',6,73,442,73,736
575,'2017/05/28 21:07:34:857',6,74,442,74,733
576,'2017/05/28 21:07:34:858',6,75,439,75,723
577,'2017/05/28 21:07:34:871',6,76,432,76,717
578,'2017/05/28 21:07:34:884',6,77,426,77,707
579,'2017/05/28 21:07:34:888',6,78,419,78,694
580,'2017/05/28 21:07:34:898',6,79,413,79,678
581,'2017/05/28 21:07:34:914',6,80,403,80,662
582,'2017/05/28 21:07:34:919',6,81,397,81,633
583,'2017/05/28 21:07:34:953',6,82,387,82,620
584,'2017/05/28 21:07:34:954',6,83,377,83,607
585,'2017/05/28 21:07:34:954',6,84,355,84,581
586,'2017/05/28 21:07:34:958',6,85,342,85,542
587,'2017/05/28 21:07:35:011',6,86,332,86,526
588,'2017/05/28 21:07:35:012',6,87,312,87,513
589,'2017/05/28 21:07:35:012',6,88,296,88,500
590,'2017/05/28 21:07:35:012',6,89,283,89,484
591,'2017/05/28 21:07:35:012',6,90,270,90,429
592,'2017/05/28 21:07:35:037',6,91,245,91,403
593,'2017/05/28 21:07:35:037',6,92,228,92,329
594,'2017/05/28 21:07:35:038',6,93,212,93,277
595,'2017/05/28 21:07:35:057',6,94,190,94,238
596,'2017/05/28 21:07:35:058',6,95,164,95,206
597,'2017/05/28 21:07:35:068',6,96,135,96,173
598,'2017/05/28 21:07:35:082',6,97,112,97,141
599,'2017/05/28 21:07:35:088',6,98,96,98,119
600,'2017/05/28 21:07:35:098',6,99,86,99,102
601,'2017/05/28 21:10:32:300',7,0,106,0,83
602,'2017/05/28 21:10:32:301',7,1,112,1,161
603,'2017/05/28 21:10:32:311',7,2,119,2,232
604,'2017/05/28 21:10:32:343',7,3,138,3,306
605,'2017/05/28 21:10:32:344',7,4,167,4,348
606,'2017/05/28 21:10:32:344',7,5,190,5,387
607,'2017/05/28 21:10:32:388',7,6,219,6,419
608,'2017/05/28 21:10:32:388',7,7,241,7,455
609,'2017/05/28 21:10:32:388',7,8,280,8,477
610,'2017/05/28 21:10:32:388',7,9,296,9,526
611,'2017/05/28 21:10:32:391',7,10,316,10,545
612,'2017/05/28 21:10:32:418',7,11,342,11,571
613,'2017/05/28 21:10:32:418',7,12,351,12,584
614,'2017/05/28 21:10:32:421',7,13,371,13,626
615,'2017/05/28 21:10:32:430',7,14,374,14,649
616,'2017/05/28 21:10:32:448',7,15,380,15,665
617,'2017/05/28 21:10:32:451',7,16,390,16,684
618,'2017/05/28 21:10:32:465',7,17,397,17,710
619,'2017/05/28 21:10:32:470',7,18,406,18,730
620,'2017/05/28 21:10:32:480',7,19,416,19,739
621,'2017/05/28 21:10:32:494',7,20,416,20,752
622,'2017/05/28 21:10:32:501',7,21,419,21,762
623,'2017/05/28 21:10:32:523',7,22,422,22,772
624,'2017/05/28 21:10:32:524',7,23,426,23,785
625,'2017/05/28 21:10:32:531',7,24,429,24,791
626,'2017/05/28 21:10:32:544',7,25,429,25,797
627,'2017/05/28 21:10:32:575',7,26,432,26,804
628,'2017/05/28 21:10:32:575',7,27,435,27,807
629,'2017/05/28 21:10:32:575',7,28,442,28,810
630,'2017/05/28 21:10:32:581',7,29,439,29,817
631,'2017/05/28 21:10:32:594',7,30,435,30,817
632,'2017/05/28 21:10:32:601',7,31,435,31,817
633,'2017/05/28 21:10:32:618',7,32,435,32,817
634,'2017/05/28 21:10:32:620',7,33,439,33,817
635,'2017/05/28 21:10:32:631',7,34,439,34,817
636,'2017/05/28 21:10:32:646',7,35,435,35,820
637,'2017/05/28 21:10:32:651',7,36,439,36,820
638,'2017/05/28 21:10:32:660',7,37,439,37,820
639,'2017/05/28 21:10:32:676',7,38,445,38,820
640,'2017/05/28 21:10:32:681',7,39,445,39,823
641,'2017/05/28 21:10:32:691',7,40,445,40,823
642,'2017/05/28 21:10:32:702',7,41,442,41,823
643,'2017/05/28 21:10:32:710',7,42,442,42,823
644,'2017/05/28 21:10:32:734',7,43,442,43,823
645,'2017/05/28 21:10:32:734',7,44,442,44,823
646,'2017/05/28 21:10:32:741',7,45,442,45,823
647,'2017/05/28 21:10:32:774',7,46,442,46,823
648,'2017/05/28 21:10:32:774',7,47,442,47,823
649,'2017/05/28 21:10:32:774',7,48,442,48,823
650,'2017/05/28 21:10:32:780',7,49,442,49,823
651,'2017/05/28 21:10:32:794',7,50,442,50,823
652,'2017/05/28 21:10:32:807',7,51,442,51,823
653,'2017/05/28 21:10:32:810',7,52,442,52,823
654,'2017/05/28 21:10:32:828',7,53,445,53,820
655,'2017/05/28 21:10:32:830',7,54,445,54,820
656,'2017/05/28 21:10:32:841',7,55,445,55,820
657,'2017/05/28 21:10:32:851',7,56,442,56,820
658,'2017/05/28 21:10:32:861',7,57,442,57,820
659,'2017/05/28 21:10:32:871',7,58,442,58,820
660,'2017/05/28 21:10:32:885',7,59,445,59,820
661,'2017/05/28 21:10:32:891',7,60,448,60,820
662,'2017/05/28 21:10:32:904',7,61,448,61,820
663,'2017/05/28 21:10:32:923',7,62,442,62,820
664,'2017/05/28 21:10:32:923',7,63,442,63,820
665,'2017/05/28 21:10:32:931',7,64,442,64,820
666,'2017/05/28 21:10:32:958',7,65,442,65,823
667,'2017/05/28 21:10:32:958',7,66,442,66,823
668,'2017/05/28 21:10:32:961',7,67,442,67,823
669,'2017/05/28 21:10:32:975',7,68,442,68,823
670,'2017/05/28 21:10:32:980',7,69,442,69,823
671,'2017/05/28 21:10:32:993',7,70,439,70,817
672,'2017/05/28 21:10:33:001',7,71,435,71,810
673,'2017/05/28 21:10:33:015',7,72,429,72,807
674,'2017/05/28 21:10:33:020',7,73,426,73,801
675,'2017/05/28 21:10:33:031',7,74,413,74,797
676,'2017/05/28 21:10:33:045',7,75,413,75,788
677,'2017/05/28 21:10:33:051',7,76,403,76,778
678,'2017/05/28 21:10:33:061',7,77,400,77,765
679,'2017/05/28 21:10:33:076',7,78,390,78,752
680,'2017/05/28 21:10:33:081',7,79,387,79,742
681,'2017/05/28 21:10:33:091',7,80,374,80,730
682,'2017/05/28 21:10:33:111',7,81,367,81,704
683,'2017/05/28 21:10:33:111',7,82,364,82,688
684,'2017/05/28 21:10:33:134',7,83,364,83,675
685,'2017/05/28 21:10:33:134',7,84,351,84,652
686,'2017/05/28 21:10:33:141',7,85,332,85,629
687,'2017/05/28 21:10:33:173',7,86,316,86,597
688,'2017/05/28 21:10:33:173',7,87,306,87,581
689,'2017/05/28 21:10:33:173',7,88,296,88,558
690,'2017/05/28 21:10:33:181',7,89,277,89,516
691,'2017/05/28 21:10:33:195',7,90,251,90,490
692,'2017/05/28 21:10:33:201',7,91,209,91,432
693,'2017/05/28 21:10:33:213',7,92,193,92,416
694,'2017/05/28 21:10:33:221',7,93,183,93,397
695,'2017/05/28 21:10:33:231',7,94,157,94,345
696,'2017/05/28 21:10:33:244',7,95,128,95,303
697,'2017/05/28 21:10:33:251',7,96,112,96,251
698,'2017/05/28 21:10:33:260',7,97,109,97,180
699,'2017/05/28 21:10:33:276',7,98,102,98,157
700,'2017/05/28 21:10:33:280',7,99,83,99,96
701,'2017/05/28 21:12:30:489',8,0,106,0,83
702,'2017/05/28 21:12:30:490',8,1,112,1,161
703,'2017/05/28 21:12:30:539',8,2,119,2,232
704,'2017/05/28 21:12:30:540',8,3,138,3,306
705,'2017/05/28 21:12:30:540',8,4,167,4,348
706,'2017/05/28 21:12:30:540',8,5,190,5,387
707,'2017/05/28 21:12:30:540',8,6,219,6,419
708,'2017/05/28 21:12:30:576',8,7,241,7,455
709,'2017/05/28 21:12:30:576',8,8,280,8,477
710,'2017/05/28 21:12:30:576',8,9,296,9,526
711,'2017/05/28 21:12:30:580',8,10,316,10,545
712,'2017/05/28 21:12:30:600',8,11,342,11,571
713,'2017/05/28 21:12:30:600',8,12,351,12,584
714,'2017/05/28 21:12:30:609',8,13,371,13,626
715,'2017/05/28 21:12:30:629',8,14,374,14,649
716,'2017/05/28 21:12:30:629',8,15,380,15,665
717,'2017/05/28 21:12:30:639',8,16,390,16,684
718,'2017/05/28 21:12:30:652',8,17,397,17,710
719,'2017/05/28 21:12:30:659',8,18,406,18,730
720,'2017/05/28 21:12:30:677',8,19,416,19,739
721,'2017/05/28 21:12:30:679',8,20,416,20,752
722,'2017/05/28 21:12:30:689',8,21,419,21,762
723,'2017/05/28 21:12:30:711',8,22,422,22,772
724,'2017/05/28 21:12:30:711',8,23,426,23,785
725,'2017/05/28 21:12:30:743',8,24,429,24,791
726,'2017/05/28 21:12:30:743',8,25,429,25,797
727,'2017/05/28 21:12:30:743',8,26,432,26,804
728,'2017/05/28 21:12:30:749',8,27,435,27,807
729,'2017/05/28 21:12:30:764',8,28,442,28,810
730,'2017/05/28 21:12:30:780',8,29,439,29,817
731,'2017/05/28 21:12:30:780',8,30,435,30,817
732,'2017/05/28 21:12:30:790',8,31,435,31,817
733,'2017/05/28 21:12:30:799',8,32,435,32,817
734,'2017/05/28 21:12:30:812',8,33,439,33,817
735,'2017/05/28 21:12:30:819',8,34,439,34,817
736,'2017/05/28 21:12:30:829',8,35,435,35,820
737,'2017/05/28 21:12:30:844',8,36,439,36,820
738,'2017/05/28 21:12:30:849',8,37,439,37,820
739,'2017/05/28 21:12:30:859',8,38,445,38,820
740,'2017/05/28 21:12:30:873',8,39,445,39,823
741,'2017/05/28 21:12:30:879',8,40,445,40,823
742,'2017/05/28 21:12:30:895',8,41,442,41,823
743,'2017/05/28 21:12:30:921',8,42,442,42,823
744,'2017/05/28 21:12:30:921',8,43,442,43,823
745,'2017/05/28 21:12:30:921',8,44,442,44,823
746,'2017/05/28 21:12:30:929',8,45,442,45,823
747,'2017/05/28 21:12:30:957',8,46,442,46,823
748,'2017/05/28 21:12:30:957',8,47,442,47,823
749,'2017/05/28 21:12:30:959',8,48,442,48,823
750,'2017/05/28 21:12:30:980',8,49,442,49,823
751,'2017/05/28 21:12:30:980',8,50,442,50,823
752,'2017/05/28 21:12:30:989',8,51,442,51,823
753,'2017/05/28 21:12:30:999',8,52,442,52,823
754,'2017/05/28 21:12:31:009',8,53,445,53,820
755,'2017/05/28 21:12:31:027',8,54,445,54,820
756,'2017/05/28 21:12:31:029',8,55,445,55,820
757,'2017/05/28 21:12:31:039',8,56,442,56,820
758,'2017/05/28 21:12:31:057',8,57,442,57,820
759,'2017/05/28 21:12:31:059',8,58,442,58,820
760,'2017/05/28 21:12:31:070',8,59,445,59,820
761,'2017/05/28 21:12:31:079',8,60,448,60,820
762,'2017/05/28 21:12:31:092',8,61,448,61,820
763,'2017/05/28 21:12:31:117',8,62,442,62,820
764,'2017/05/28 21:12:31:117',8,63,442,63,820
765,'2017/05/28 21:12:31:120',8,64,442,64,820
766,'2017/05/28 21:12:31:129',8,65,442,65,823
767,'2017/05/28 21:12:31:157',8,66,442,66,823
768,'2017/05/28 21:12:31:158',8,67,442,67,823
769,'2017/05/28 21:12:31:159',8,68,442,68,823
770,'2017/05/28 21:12:31:177',8,69,442,69,823
771,'2017/05/28 21:12:31:179',8,70,439,70,817
772,'2017/05/28 21:12:31:194',8,71,435,71,810
773,'2017/05/28 21:12:31:199',8,72,429,72,807
774,'2017/05/28 21:12:31:214',8,73,426,73,801
775,'2017/05/28 21:12:31:220',8,74,413,74,797
776,'2017/05/28 21:12:31:238',8,75,413,75,788
777,'2017/05/28 21:12:31:239',8,76,403,76,778
778,'2017/05/28 21:12:31:249',8,77,400,77,765
779,'2017/05/28 21:12:31:265',8,78,390,78,752
780,'2017/05/28 21:12:31:269',8,79,387,79,742
781,'2017/05/28 21:12:31:279',8,80,374,80,730
782,'2017/05/28 21:12:31:292',8,81,367,81,704
783,'2017/05/28 21:12:31:317',8,82,364,82,688
784,'2017/05/28 21:12:31:317',8,83,364,83,675
785,'2017/05/28 21:12:31:319',8,84,351,84,652
786,'2017/05/28 21:12:31:329',8,85,332,85,629
787,'2017/05/28 21:12:31:358',8,86,316,86,597
788,'2017/05/28 21:12:31:358',8,87,306,87,581
789,'2017/05/28 21:12:31:359',8,88,296,88,558
790,'2017/05/28 21:12:31:379',8,89,277,89,516
791,'2017/05/28 21:12:31:379',8,90,251,90,490
792,'2017/05/28 21:12:31:400',8,91,209,91,432
793,'2017/05/28 21:12:31:400',8,92,193,92,416
794,'2017/05/28 21:12:31:409',8,93,183,93,397
795,'2017/05/28 21:12:31:430',8,94,157,94,345
796,'2017/05/28 21:12:31:431',8,95,128,95,303
797,'2017/05/28 21:12:31:439',8,96,112,96,251
798,'2017/05/28 21:12:31:457',8,97,109,97,180
799,'2017/05/28 21:12:31:459',8,98,102,98,157
800,'2017/05/28 21:12:31:482',8,99,83,99,96
801,'2017/05/28 21:13:36:325',9,0,115,0,83
802,'2017/05/28 21:13:36:326',9,1,119,1,161
803,'2017/05/28 21:13:36:335',9,2,122,2,232
804,'2017/05/28 21:13:36:367',9,3,131,3,306
805,'2017/05/28 21:13:36:367',9,4,141,4,348
806,'2017/05/28 21:13:36:367',9,5,157,5,387
807,'2017/05/28 21:13:36:410',9,6,196,6,419
808,'2017/05/28 21:13:36:410',9,7,219,7,455
809,'2017/05/28 21:13:36:410',9,8,251,8,477
810,'2017/05/28 21:13:36:410',9,9,270,9,526
811,'2017/05/28 21:13:36:415',9,10,309,10,545
812,'2017/05/28 21:13:36:440',9,11,329,11,571
813,'2017/05/28 21:13:36:441',9,12,335,12,584
814,'2017/05/28 21:13:36:445',9,13,348,13,626
815,'2017/05/28 21:13:36:468',9,14,371,14,649
816,'2017/05/28 21:13:36:468',9,15,371,15,665
817,'2017/05/28 21:13:36:486',9,16,380,16,684
818,'2017/05/28 21:13:36:486',9,17,393,17,710
819,'2017/05/28 21:13:36:495',9,18,390,18,730
820,'2017/05/28 21:13:36:506',9,19,393,19,739
821,'2017/05/28 21:13:36:517',9,20,409,20,752
822,'2017/05/28 21:13:36:525',9,21,416,21,762
823,'2017/05/28 21:13:36:547',9,22,416,22,772
824,'2017/05/28 21:13:36:547',9,23,422,23,785
825,'2017/05/28 21:13:36:564',9,24,413,24,791
826,'2017/05/28 21:13:36:565',9,25,413,25,797
827,'2017/05/28 21:13:36:589',9,26,416,26,804
828,'2017/05/28 21:13:36:590',9,27,419,27,807
829,'2017/05/28 21:13:36:595',9,28,426,28,810
830,'2017/05/28 21:13:36:614',9,29,435,29,817
831,'2017/05/28 21:13:36:615',9,30,439,30,817
832,'2017/05/28 21:13:36:631',9,31,429,31,817
833,'2017/05/28 21:13:36:635',9,32,435,32,817
834,'2017/05/28 21:13:36:649',9,33,429,33,817
835,'2017/05/28 21:13:36:656',9,34,429,34,817
836,'2017/05/28 21:13:36:670',9,35,429,35,820
837,'2017/05/28 21:13:36:675',9,36,429,36,820
838,'2017/05/28 21:13:36:685',9,37,432,37,820
839,'2017/05/28 21:13:36:699',9,38,435,38,820
840,'2017/05/28 21:13:36:705',9,39,442,39,823
841,'2017/05/28 21:13:36:715',9,40,442,40,823
842,'2017/05/28 21:13:36:728',9,41,432,41,823
843,'2017/05/28 21:13:36:735',9,42,432,42,823
844,'2017/05/28 21:13:36:757',9,43,432,43,823
845,'2017/05/28 21:13:36:757',9,44,432,44,823
846,'2017/05/28 21:13:36:765',9,45,439,45,823
847,'2017/05/28 21:13:36:796',9,46,442,46,823
848,'2017/05/28 21:13:36:796',9,47,445,47,823
849,'2017/05/28 21:13:36:796',9,48,439,48,823
850,'2017/05/28 21:13:36:814',9,49,439,49,823
851,'2017/05/28 21:13:36:815',9,50,439,50,823
852,'2017/05/28 21:13:36:831',9,51,439,51,823
853,'2017/05/28 21:13:36:835',9,52,442,52,823
854,'2017/05/28 21:13:36:849',9,53,445,53,820
855,'2017/05/28 21:13:36:856',9,54,452,54,820
856,'2017/05/28 21:13:36:865',9,55,452,55,820
857,'2017/05/28 21:13:36:877',9,56,448,56,820
858,'2017/05/28 21:13:36:885',9,57,448,57,820
859,'2017/05/28 21:13:36:900',9,58,448,58,820
860,'2017/05/28 21:13:36:906',9,59,448,59,820
861,'2017/05/28 21:13:36:915',9,60,448,60,820
862,'2017/05/28 21:13:36:930',9,61,445,61,820
863,'2017/05/28 21:13:36:935',9,62,445,62,820
864,'2017/05/28 21:13:36:957',9,63,445,63,820
865,'2017/05/28 21:13:36:957',9,64,445,64,820
866,'2017/05/28 21:13:36:965',9,65,445,65,823
867,'2017/05/28 21:13:36:995',9,66,445,66,823
868,'2017/05/28 21:13:36:995',9,67,445,67,823
869,'2017/05/28 21:13:36:996',9,68,452,68,823
870,'2017/05/28 21:13:37:014',9,69,445,69,823
871,'2017/05/28 21:13:37:015',9,70,439,70,817
872,'2017/05/28 21:13:37:032',9,71,435,71,810
873,'2017/05/28 21:13:37:035',9,72,432,72,807
874,'2017/05/28 21:13:37:045',9,73,429,73,801
875,'2017/05/28 21:13:37:057',9,74,429,74,797
876,'2017/05/28 21:13:37:065',9,75,429,75,788
877,'2017/05/28 21:13:37:082',9,76,416,76,778
878,'2017/05/28 21:13:37:085',9,77,403,77,765
879,'2017/05/28 21:13:37:095',9,78,393,78,752
880,'2017/05/28 21:13:37:110',9,79,390,79,742
881,'2017/05/28 21:13:37:115',9,80,387,80,730
882,'2017/05/28 21:13:37:128',9,81,380,81,704
883,'2017/05/28 21:13:37:147',9,82,367,82,688
884,'2017/05/28 21:13:37:147',9,83,351,83,675
885,'2017/05/28 21:13:37:163',9,84,345,84,652
886,'2017/05/28 21:13:37:165',9,85,338,85,629
887,'2017/05/28 21:13:37:197',9,86,325,86,597
888,'2017/05/28 21:13:37:197',9,87,287,87,581
889,'2017/05/28 21:13:37:198',9,88,277,88,558
890,'2017/05/28 21:13:37:214',9,89,267,89,516
891,'2017/05/28 21:13:37:217',9,90,248,90,490
892,'2017/05/28 21:13:37:225',9,91,225,91,432
893,'2017/05/28 21:13:37:245',9,92,196,92,416
894,'2017/05/28 21:13:37:245',9,93,180,93,397
895,'2017/05/28 21:13:37:256',9,94,141,94,345
896,'2017/05/28 21:13:37:271',9,95,128,95,303
897,'2017/05/28 21:13:37:275',9,96,115,96,251
898,'2017/05/28 21:13:37:285',9,97,109,97,180
899,'2017/05/28 21:13:37:301',9,98,99,98,157
900,'2017/05/28 21:13:37:305',9,99,96,99,96
